Organizer,Source,Event Title,Event Location,Date,Start Time
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1193%26reset%3D1"", ""Event Page"")",FC Virtual Club,"New York, NY",November 26,7:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1182%26reset%3D1"", ""Event Page"")",Thanksgiving Camp 2024,"Chabad UES - 419 East 77th St, New York, NY",November 28,10:00am
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1223%26reset%3D1"", ""Event Page"")",Giving Tuesday Campaign,"New York, NY",December 3,7:00am
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1194%26reset%3D1"", ""Event Page"")",FC Virtual Club,"New York, NY",December 3,7:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1224%26reset%3D1"", ""Event Page"")",Young Jewish Leadership Society - ﻿Intro to Mental Health,"Chabad UES - 419 East 77th St, New York, NY",December 5,5:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1207%26reset%3D1"", ""Event Page"")",FCA Shabbat Dinner,"Edmond J. Safra Synagogue - 11 East 63rd Street, New York, NY",December 6,7:00pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1217%26reset%3D1"", ""Event Page"")",Volunteer Mitzvah Project,"Chabad UES - 419 East 77th St, New York, NY",December 7,8:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1200%26reset%3D1"", ""Event Page"")",Sunday Squad - Karaoke City,"Chabad UES - 419 East 77th St, New York, NY",December 8,12:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1201%26reset%3D1"", ""Event Page"")",FC at Gym Time,"Gym Time - 1520 York Ave, New York, NY",December 8,1:00pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1195%26reset%3D1"", ""Event Page"")",FC Virtual Club,"New York, NY",December 10,7:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1225%26reset%3D1"", ""Event Page"")",Moms Night Out - Mosaics,"Exclusive UES Party Room, New York, NY",December 10,7:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1203%26reset%3D1"", ""Event Page"")",Sunday Squad - Hex & Co,"Chabad UES - 419 East 77th St, New York, NY",December 15,12:30pm
Friendship Circle NYC,"=HYPERLINK(""https://www.friendshipcirclenyc.org/civicrm/event/info%3Fid%3D1202%26reset%3D1"", ""Event Page"")",FC at Gym Time,"Gym Time - 1520 York Ave, New York, NY",December 15,1:00pm
